Size	StencilType	SymGS	GEMV	SpMV_GEMV
1024	0	131072	262015	524160
1024	1	131072	392831	786048
1024	2	131072	392960	786177
1024	3	131072	392960	786177
4096	0	2097152	4193791	8388096
4096	1	2097152	6289919	12581376
4096	2	2097152	6290432	12581889
4096	3	2097152	6290432	12581889
64	0	32768	97783	196088
64	1	32768	162279	326120
64	2	32768	195065	391674
64	3	32768	291827	586740
256	0	2097152	6283231	12574688
256	1	2097152	10461087	20946848
256	2	2097152	12558305	25141218
256	3	2097152	18825155	37699524
